line,status,identifier,aircon,display_eligible,reason
1095,success,339698,0,0,
1096,success,64252,0,0,
1097,success,339729,0,0,
1098,success,296815,0,0,
1099,success,218733,0,0,
1100,success,218696,0,0,
1101,success,337649,0,0,
1102,success,368529,0,0,
1103,success,325022,0,0,
1104,success,342215,0,0,
1105,success,252261,0,0,
1106,success,369008,0,0,
1107,success,270108,0,0,
1108,success,221355,0,0,
1109,success,337334,0,0,
1110,success,316936,0,0,
1111,success,229928,0,0,
1112,success,367312,0,0,
1113,success,339209,0,0,
1114,success,229929,0,0,
1115,success,340940,0,0,
1116,success,236319,0,0,
1117,success,252221,0,0,
1118,success,339699,0,0,
1119,success,218708,0,0,
1120,success,270107,0,0,
1121,success,337650,0,0,
1122,success,229926,0,0,
1123,success,270110,0,0,
1124,success,178786,0,0,
1125,success,221356,0,0,
1126,success,362049,0,0,
1127,success,339725,0,0,
1128,success,203850,0,0,
1129,success,224525,0,0,
1130,success,341504,0,0,
1131,success,229934,0,0,
1132,success,341505,0,0,
1133,success,179529,0,0,
1134,success,339745,0,0,
1135,success,232443,0,0,
1136,success,284883,0,0,
1137,success,75085,0,0,
1138,success,218728,0,0,
1139,success,174575,0,0,
1140,success,230532,0,0,
1141,success,337647,0,0,
1142,success,342213,0,0,
1143,success,325028,0,0,
1144,success,284884,0,0,
